stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
2.0,0.0,0.0,0.0,1.0,93.0,5.0,76.0,103.0,0.0,0.0,0.0,0.0,7.0,0.0,55.0,0.0,0.0,1.0,1.0,1427953971.0,1578684688.0
20.0,8.0,14.0,64.0,115.0,584.0,16.0,1640.0,316.0,0.0,0.0,5.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,1.0,1428099563.0,1581668854.0
64.0,14.0,25.0,22.0,54.0,256.0,13.0,167.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,44.0,0.0,0.0,1.0,1.0,1428150689.0,1581907924.0
66.0,4.0,1.0,35.0,14.0,998.0,11.0,24297.0,1619.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1428224867.0,1581878227.0
15.0,3.0,8.0,9.0,679.0,1856.0,7.0,2488.0,2359.0,0.0,0.0,0.0,0.0,8.0,0.0,36.0,1.0,1.0,1.0,1.0,1427450576.0,1580915872.0
13.0,0.0,1.0,13.0,0.0,250.0,14.0,129686.0,4583.0,15.0,0.0,0.0,0.0,7.0,0.0,38.0,0.0,0.0,1.0,1.0,1427424632.0,1581643637.0
12.0,2.0,6.0,3.0,1.0,61.0,2.0,531.0,414.0,3.0,0.0,0.0,6.0,7.0,0.0,37.0,1.0,0.0,1.0,1.0,1427424988.0,1579110508.0
11.0,0.0,0.0,18.0,0.0,328.0,11.0,419194.0,3736.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,0.0,0.0,1.0,1.0,1427495897.0,1581904601.0
10.0,6.0,58.0,8.0,14.0,6772.0,3.0,16199.0,9450.0,0.0,0.0,0.0,0.0,7.0,0.0,144.0,0.0,0.0,1.0,1.0,1427495189.0,1581807987.0
10.0,2.0,1.0,2.0,0.0,282.0,2.0,849.0,429.0,0.0,0.0,0.0,0.0,7.0,0.0,70.0,0.0,0.0,1.0,1.0,1427495218.0,1580354188.0
9.0,10.0,68.0,2.0,1020.0,1360.0,1.0,7328.0,2788.0,0.0,0.0,1.0,194.0,20.0,10.0,130.0,1.0,1.0,0.0,1.0,1427455457.0,1581542814.0
