stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
5,0,0,0,0,509.0,3,23538,1306,0,0,0,0,7,0,43,0,1,1,1,1427572536,1581822728
5,0,5,1,0,544.0,6,126893,16890,5,2,0,0,7,0,45,1,1,1,1,1427573270,1581705907
4,7,41,7,11,513.0,7,565,0,0,0,0,0,9,0,0,0,1,1,1,1427547796,1581116351
4,0,1,0,0,487.0,2,776,3410,10,0,0,1,7,7,58,1,0,1,1,1427511166,1580748358
3,0,0,1,25,60.0,1,177,1396,0,0,0,0,8,4,62,0,1,1,1,1427571268,1579858713
101,8,0,18,3,58.0,19,1709246,3722,0,0,0,0,7,0,40,0,0,1,1,1427591840,1579899432
92,4,8,142,52,251.0,14,9099,0,0,0,0,0,13,0,46,0,0,1,1,1427599137,1581828654
42,2,4,22,5,89.0,9,153,572,0,0,0,0,10,5,66,0,0,1,1,1427587383,1581896212
34,25,153,27,348,5496.0,31,404410,779,0,0,0,1325,7,0,20,1,0,0,1,1427661926,1580745487
3,0,23,3,3,10.0,1,3002,446,0,0,2,0,14,3,51,1,1,1,1,1427579678,1580170258
2,0,1,4,1,20.0,6,1954,2489,0,0,0,0,7,0,128,1,1,1,1,1427507994,1578812437
1,47,113,2,10,841.0,4,3024,6386,4,0,9,0,15,6,111,1,1,1,1,1427504598,1578325927
1,3,0,1,0,79.0,1,153,1566,0,0,0,0,7,0,94,0,1,1,1,1427517683,1579913043
1,0,0,0,0,15.0,1,319,0,3,0,0,0,7,0,28,0,1,0,1,1427539053,1579102670
1,0,1,0,11,52.0,1,63022,0,0,0,0,38,8,0,20,1,1,1,1,1427525639,1579432314
1,0,0,0,0,14.0,1,408,2584,0,0,0,0,7,0,83,0,0,0,1,1427581596,1581078926
1,0,1,0,0,124.0,1,2210,774,18,0,0,0,7,4,50,0,1,1,1,1427578534,1580039349
17,28,97,15,198,1496.0,16,6659,233,20,0,11,2,8,0,40,0,0,1,1,1428597089,1579744106
